,theta_2,theta_3,R3,theta_4,R4,R5,h3,f3,h4,f4,f5,h3p,f3p,h4p,f4p,f5p,T,F12,F14,F23,F34,F45
347,3.46999999999997,44.00885931124125,-1.893776484910613,44.00885931124125,-2.1239023191563957,228.28554667909899,0.009016580069648053,-0.026461268535269197,-0.0,-0.0,-0.0,0.026454544053981423,0.00900985558836028,-0.0,-0.0,-0.0,336.47599698146894,82.1443249799679,57.257402568639485,167.23708725794282,-55.03156885987128,98.10000000000001
348,3.47999999999997,44.008951107139104,-1.8872333575724343,44.008951107139104,-2.116564091314397,228.29288749643968,0.009344056012383393,-0.026549690895450416,-0.0,-0.0,-0.0,0.02654264925964952,0.009337014376582489,-0.0,-0.0,-0.0,335.31206679951237,81.81675875769382,57.26387266819492,166.6551221669645,-55.03655436650504,98.10000000000001
349,3.4899999999999696,44.0090462037385,-1.8805016547672961,44.0090462037385,-2.1090143729006217,228.30043989743365,0.009676798210340632,-0.02664135699847792,-0.0,-0.0,-0.0,0.026633985824296387,0.009669427036159094,-0.0,-0.0,-0.0,334.100099570951,81.47536079221358,57.270552687355305,166.04913855268381,-55.041766761521295,98.10000000000001
350,3.4999999999999694,44.00914465485929,-1.873582051091787,44.00914465485929,-2.1012539204865393,228.30820312702357,0.010015040864507746,-0.02673631818952922,-0.0,-0.0,-0.0,0.026728604337834284,0.010007327012812811,-0.0,-0.0,-0.0,332.8403530397466,81.12016074937979,57.27744646765935,165.41926528708163,-55.0472102845266,98.10000000000001
351,3.509999999999969,44.009246516703115,-1.8664752399952813,44.009246516703115,-2.093283511787338,228.3161764090752,0.010359026292662664,-0.02683462810707683,-0.0,-0.0,-0.0,0.026826557636879477,0.010350955822465313,-0.0,-0.0,-0.0,331.5330976618419,80.7511894752605,57.284558015674556,164.76563759812927,-55.0528893774622,98.10000000000001
352,3.519999999999969,44.00935184793681,-1.8591819337125264,44.00935184793681,-2.0851039455863187,228.32435894645536,0.010709005385391605,-0.026936342761331545,-0.0,-0.0,-0.0,0.026927900879605688,0.010700563503665748,-0.0,-0.0,-0.0,330.17861688485107,80.36847898543914,57.29189150919761,164.08839720963385,-55.05880869284998,98.10000000000001
353,3.5299999999999687,44.009460709780484,-1.8517028631944574,44.009460709780484,-2.0767160416573027,228.332749921112,0.011065238087193011,-0.027041520617126818,-0.0,-0.0,-0.0,0.02703269162474216,0.01105640909480835,-0.0,-0.0,-0.0,328.7772074475646,79.97206245376846,57.299451303798605,163.38769249099062,-55.06497310253834,98.10000000000001
354,3.5399999999999685,44.00957316610055,-1.8440387780372505,44.00957316610055,-2.0681206406850636,228.34134849415628,0.011427993904406075,-0.027150222681390883,-0.0,-0.0,-0.0,0.027140989914834966,0.011418761137850161,-0.0,-0.0,-0.0,327.3291797005317,79.56197420055884,57.30724193972019,162.66367861747418,-55.07138770697898,98.10000000000001
355,3.5499999999999683,44.00968928350802,-1.8361904464096326,44.00968928350802,-2.0593186041838067,228.35015380594695,0.011797552441924647,-0.027262512595594427,-0.0,-0.0,-0.0,0.027252858364128312,0.011787898210458524,-0.0,-0.0,-0.0,325.8348579490537,79.13824968017336,57.315268149163366,161.9165177417352,-55.07805784506892,98.10000000000001
356,3.559999999999968,44.00980913146218,-1.8281586549784619,44.00980913146218,-2.050310814413702,228.3591649761767,0.01217420397070858,-0.027378456733341626,-0.0,-0.0,-0.0,0.02736836225119942,0.012164109488566374,-0.0,-0.0,-0.0,324.2945808200391,78.70092546800275,57.32353486397304,161.14637917722786,-55.08498910459386,98.10000000000001
